"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.439277500E-1,-3.209775238E0,2.406844940E0,7.678432617E0,8.663364652E0
6.539397500E-1,-2.414778442E0,2.809357910E0,7.439529419E0,8.310851026E0
6.639527500E-1,-1.806443481E0,2.915786591E0,7.053182831E0,7.842986519E0
6.739647500E-1,-1.761985931E0,2.809357910E0,6.410868530E0,7.217778162E0
6.839767500E-1,-2.065554657E0,2.549647980E0,5.679040375E0,6.558865789E0
6.939887500E-1,-2.530338135E0,2.305954742E0,5.256618805E0,6.273123593E0
7.040007500E-1,-2.714904327E0,2.479144592E0,5.329068146E0,6.474243641E0
7.140137500E-1,-2.098336487E0,2.042203217E0,6.636599121E0,7.253830566E0
7.240257500E-1,-1.412911835E0,8.414002991E-1,7.246580658E0,7.430828053E0
7.340377500E-1,-8.312214661E-1,2.665956116E-1,6.403683472E0,6.462906804E0
7.440497500E-1,4.349954224E-1,4.249662781E-1,5.901777191E0,5.933025482E0
7.540627500E-1,1.084943848E0,6.448590088E-1,5.624403992E0,5.764275024E0
7.640747500E-1,7.186555481E-1,4.331991577E-1,5.255570984E0,5.322138074E0
7.740867500E-1,7.658074951E-1,2.679428101E-1,5.190755768E0,5.253779583E0
7.840987500E-1,1.758692780E0,-4.930746460E-1,4.888983307E0,5.219030626E0
7.941117500E-1,2.241438904E0,-1.098715210E0,4.480931854E0,5.129324883E0
8.041237500E-1,2.015259247E0,-9.413923645E-1,4.491110687E0,5.011742673E0
8.141357500E-1,1.625619507E0,-4.367916870E-1,5.350773010E0,5.609295639E0
8.241477500E-1,1.102906494E0,4.090992737E-1,6.763984222E0,6.865511453E0
8.341597500E-1,7.542814636E-1,1.149459686E0,6.606511688E0,6.748051184E0
8.441727500E-1,9.437873840E-1,1.802252197E0,5.146747284E0,5.534243870E0
8.541847500E-1,1.710343323E0,2.336940308E0,4.238585815E0,5.133436860E0
8.641967500E-1,3.109633484E0,2.507286072E0,4.424349518E0,5.960803008E0
8.742087500E-1,5.103337555E0,2.353256378E0,5.209317169E0,7.662822923E0
8.842217500E-1,6.926396484E0,2.508333893E0,6.011648712E0,9.508239975E0
8.942337500E-1,7.940986633E0,2.786006470E0,6.226002960E0,1.046824788E1
9.042457500E-1,7.510930939E0,1.808988190E0,6.542295227E0,1.012364305E1
9.142577500E-1,7.018604736E0,7.569758606E-1,7.401209106E0,1.022798715E1
9.242707500E-1,6.444249115E0,3.397933960E-1,7.730673981E0,1.007011055E1
9.342827500E-1,5.741011505E0,1.731898499E-1,7.569908295E0,9.502248124E0
9.442947500E-1,5.135071564E0,-4.340972900E-2,6.995103607E0,8.677690871E0
9.543067500E-1,5.303920441E0,-3.041674805E-1,6.165528717E0,8.138662928E0
9.643187500E-1,5.948480072E0,-5.873785400E-1,5.457800446E0,8.094258114E0
9.743317500E-1,6.758146362E0,-8.936416626E-1,5.042863312E0,8.479481591E0
9.843437500E-1,7.509284363E0,-1.252894592E0,4.962929535E0,9.087891178E0
9.943557500E-1,8.204588470E0,-1.543290710E0,5.225034485E0,9.848756447E0
1.004368000E0,8.929830322E0,-1.936972046E0,5.875581665E0,1.086352568E1
1.014381000E0,9.372609558E0,-2.430046692E0,6.317163391E0,1.156103327E1
1.024393000E0,1.016116974E1,-2.800226898E0,6.077661438E0,1.216670086E1
1.034405000E0,1.124162292E1,-3.073259125E0,5.309907990E0,1.280680017E1
