"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.430827084E-1,-1.338067474E0,2.047741699E-1,6.878196716E0,7.010131746E0
6.530947083E-1,-1.194515991E0,1.543290710E-1,8.022716675E0,8.112624037E0
6.631077083E-1,-9.160949707E-1,-3.817062378E-2,9.159153442E0,9.204932307E0
6.731197083E-1,-2.767744446E-1,-6.092330933E-2,9.426347809E0,9.430607019E0
6.831317083E-1,2.582130432E-1,2.225871277E-1,9.134155426E0,9.140514994E0
6.931437083E-1,5.776487732E-1,5.920188904E-1,8.729995880E0,8.769093028E0
7.031557084E-1,5.508544922E-1,8.825646973E-1,8.345295868E0,8.409894425E0
7.131687083E-1,2.095642090E-1,1.064885559E0,7.710466003E0,7.786474453E0
7.231807083E-1,-2.020797729E-1,1.094823303E0,6.717580719E0,6.809211776E0
7.331927083E-1,-6.188131714E-1,1.044078827E0,5.767207031E0,5.893530969E0
7.432047083E-1,-8.466394043E-1,8.683442688E-1,5.197342072E0,5.336963993E0
7.532167083E-1,-2.216889954E-1,5.358856201E-2,5.661227417E0,5.665819765E0
7.632297083E-1,1.114133148E0,-8.798703003E-1,6.664141846E0,6.813681160E0
7.732417083E-1,2.997516632E0,-5.607339478E-1,6.599775696E0,7.270252248E0
7.832537083E-1,2.091600494E0,-9.131011963E-1,5.652545471E0,6.095885229E0
7.932657083E-1,1.965263214E0,-1.692979431E0,5.188510437E0,5.800782655E0
8.032777083E-1,3.129242706E0,-2.013163605E0,5.360203400E0,6.525087593E0
8.132907083E-1,4.071383514E0,-1.757195892E0,5.381758575E0,6.973322486E0
8.233027083E-1,4.836891632E0,-1.279090118E0,5.574108582E0,7.490145437E0
8.333147083E-1,5.472469940E0,-1.161883850E0,6.530170441E0,8.598896866E0
8.433267083E-1,5.936804352E0,-1.371298370E0,7.333250427E0,9.534289012E0
8.533387083E-1,6.673871613E0,-1.238674164E0,8.128546600E0,1.059000216E1
8.633517083E-1,7.094646606E0,-1.078507233E0,8.810528412E0,1.136321254E1
8.733637083E-1,7.486232300E0,-1.332079926E0,8.637637939E0,1.150768874E1
8.833757083E-1,8.587492218E0,-1.277892609E0,8.488997040E0,1.214253280E1
8.933877083E-1,8.504414978E0,-1.560804291E0,7.165449371E0,1.122964153E1
9.033997083E-1,8.972641296E0,-1.415755920E0,7.103478241E0,1.153135117E1
9.134117083E-1,9.678722992E0,-2.239343262E-1,7.385192413E0,1.217657145E1
9.234247083E-1,1.056862244E1,8.898994446E-1,7.494315491E0,1.298662642E1
9.334367084E-1,1.176613220E1,1.790726166E0,7.913144531E0,1.429218050E1
9.434487083E-1,1.257894196E1,2.444117432E0,8.196505280E0,1.521138355E1
9.534607083E-1,1.307216629E1,2.603835297E0,7.970175934E0,1.553013825E1
9.634727083E-1,1.365700012E1,2.449655914E0,6.799759827E0,1.545157598E1
9.734857084E-1,1.454674988E1,2.552492065E0,5.403014374E0,1.572627458E1
9.834977083E-1,1.544084061E1,3.062481537E0,3.688479767E0,1.616796941E1
9.935097084E-1,1.647848282E1,3.582500153E0,2.371967468E0,1.702941376E1
1.003521708E0,1.723321335E1,4.051923981E0,1.378483429E0,1.775674370E1
1.013533708E0,1.726419891E1,4.403542786E0,-2.095642090E-1,1.781818370E1
1.023546708E0,1.701661377E1,4.553830261E0,-1.815724182E0,1.770873707E1
1.033558708E0,1.688862991E1,4.717589722E0,-3.267555084E0,1.783699496E1
1.043570708E0,1.679627197E1,4.854405212E0,-4.485422516E0,1.804990353E1
1.053582708E0,1.648297348E1,5.068160706E0,-5.043162689E0,1.796686276E1
1.063595458E0,1.615111359E1,5.090913391E0,-5.179828491E0,1.770893821E1
1.073608458E0,1.608001144E1,4.711302795E0,-5.025349731E0,1.749334965E1
1.083620458E0,1.592987366E1,4.230053558E0,-4.672683105E0,1.713149717E1
1.093632458E0,1.551658310E1,3.960613861E0,-4.376149750E0,1.660124995E1
1.103644458E0,1.525717255E1,3.549718323E0,-4.345014496E0,1.625610548E1
1.113656458E0,1.536045776E1,4.043242035E0,-5.700595551E0,1.687567061E1
1.123669458E0,1.528441589E1,4.941823425E0,-2.201172638E0,1.621357915E1
1.133681458E0,1.351823868E1,3.057990875E0,-3.990850983E0,1.442293232E1
1.143693458E0,1.352617218E1,1.696871338E0,-6.270759888E0,1.500530359E1
1.153705458E0,1.292502228E1,5.215155029E-1,-3.768413544E0,1.347327428E1
1.163717458E0,1.227043350E1,4.849914551E-1,-4.458328857E0,1.306428151E1
1.173730458E0,1.275662247E1,1.763931885E0,-4.313579865E0,1.358123130E1
1.183742458E0,1.363469650E1,3.483406219E0,-4.639751587E0,1.481777184E1
1.193754458E0,1.323847046E1,3.951033783E0,-5.292544098E0,1.479455275E1
1.203766458E0,1.211311066E1,3.141217804E0,-4.683460693E0,1.336149330E1
1.213778458E0,1.093476105E1,2.908900909E0,-3.329226837E0,1.179467910E1
1.223791458E0,1.003543121E1,2.959046631E0,-2.454445953E0,1.074663396E1
1.233803458E0,9.326655121E0,3.450923767E0,-2.090702362E0,1.016200802E1
1.243815458E0,9.247020721E0,3.551215210E0,-1.740580444E0,1.005724326E1
1.253827458E0,9.297016754E0,2.745740204E0,-2.577340393E0,1.003076733E1
1.263839458E0,8.287366333E0,3.924838257E0,1.989662476E0,9.383152607E0
1.273852458E0,6.584357758E0,4.743934937E0,2.965483246E0,8.640183832E0
1.283864458E0,6.228248291E0,4.566553802E0,3.060385895E0,8.307252989E0
1.293876458E0,6.411916351E0,4.358037415E0,1.657503204E0,7.927955492E0
1.303888458E0,6.052064667E0,3.245401154E0,9.960287476E-1,6.939177807E0
1.313900458E0,4.879852295E0,2.761607208E0,4.784051514E-1,5.627459843E0
1.323913458E0,4.434678040E0,2.264640656E0,-5.640270996E-1,5.011296557E0
1.333925458E0,4.727918243E0,1.706301727E0,-1.100511475E0,5.145464217E0
1.343937458E0,3.970193939E0,1.261127472E0,-2.120041351E0,4.674126415E0
1.353949458E0,4.291725311E0,4.328997803E-1,-2.659968567E-1,4.321696738E0
1.363961458E0,3.983965302E0,2.201921082E-1,-7.978408813E-1,4.069031108E0
1.373974458E0,3.667822723E0,5.676196289E-1,-1.943558350E0,4.189574517E0
1.383986458E0,4.056414642E0,3.152444458E-1,-1.406924286E0,4.305033653E0
1.393998458E0,3.890260162E0,5.408253479E-1,-1.314716034E0,4.141870886E0
1.404010458E0,4.172722778E0,4.538562012E-1,-9.074130249E-1,4.294298457E0
1.414022458E0,4.228257294E0,1.286724243E0,-1.932481384E-1,4.423930816E0
1.424035458E0,4.627028046E0,3.124302979E0,-3.457809448E-2,5.583175914E0
1.434047458E0,5.963149567E0,3.344644775E0,1.076261902E0,6.921281753E0
1.444059458E0,6.372548218E0,3.715573425E0,1.711540833E0,7.572597222E0
1.454071458E0,6.845265198E0,5.020709381E0,1.632654877E0,8.644694342E0
1.464083458E0,7.369924164E0,6.049669647E0,8.707392883E-1,9.574574243E0
1.474095458E0,7.736661530E0,5.418582001E0,8.798703003E-1,9.486365704E0
1.484108458E0,7.793692932E0,4.844525757E0,6.683601379E-1,9.200966504E0
1.494120458E0,7.884853363E0,5.099745026E0,7.035369873E-1,9.416648882E0
