"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.413823750E-1,-6.915618896E-2,-5.388793945E-3,3.807631989E0,3.808263775E0
6.513953750E-1,2.475851440E-1,-9.725276184E-1,3.920946350E0,4.047335995E0
6.614073750E-1,9.514215088E-1,-9.376501465E-1,4.611759796E0,4.801324724E0
6.714193750E-1,2.292482758E0,-3.427871704E-2,5.321583710E0,5.794471969E0
6.814323750E-1,4.226311340E0,5.613327026E-1,6.834936676E0,8.055629169E0
6.914443750E-1,6.234684906E0,5.897735596E-1,8.941955109E0,1.091685348E1
7.014563750E-1,6.566245422E0,-1.927990723E-1,1.135029694E1,1.311419044E1
7.114693750E-1,7.679480438E0,-4.852908325E-1,1.347752335E1,1.551945755E1
7.214813750E-1,8.212222595E0,2.830314331E0,1.345013031E1,1.601116125E1
7.314933750E-1,7.586673431E0,4.462220764E0,1.939172470E1,2.129572762E1
7.415063750E-1,6.222111053E0,2.906056824E0,2.348002304E1,2.446367336E1
7.515183750E-1,5.454656982E0,3.094365234E0,2.276989975E1,2.361772033E1
7.615313750E-1,6.418053589E0,5.341641998E0,2.101075790E1,2.260921270E1
7.715433750E-1,7.296726379E0,5.539231110E0,2.168645279E1,2.354203754E1
7.815553750E-1,6.532565460E0,3.688779144E0,2.094983459E1,2.225257452E1
7.915683750E-1,5.965095520E0,2.539169769E0,2.021621017E1,2.123028265E1
8.015803750E-1,5.952821045E0,1.023870850E0,1.985635849E1,2.075474313E1
8.115923750E-1,5.970184937E0,-7.231462097E-1,1.933095108E1,2.024479484E1
8.216053750E-1,6.456224213E0,-1.905986481E0,1.900492905E1,2.016191815E1
8.316173750E-1,7.394922180E0,-2.798580322E0,1.844988327E1,2.007274567E1
8.416293750E-1,8.592581635E0,-3.840413818E0,1.801204376E1,2.032276945E1
8.516423750E-1,1.023092468E1,-5.083279266E0,1.764620453E1,2.102141961E1
8.616543750E-1,1.203018311E1,-6.562802582E0,1.755923538E1,2.227380593E1
8.716663750E-1,1.323652451E1,-8.077652435E0,1.762464935E1,2.347514248E1
8.816793750E-1,1.340642120E1,-9.090296631E0,1.699281326E1,2.347597335E1
8.916913750E-1,1.292367508E1,-9.137897644E0,1.531884430E1,2.202701844E1
9.017043750E-1,1.289403671E1,-9.130263519E0,1.419273605E1,2.123797663E1
9.117163750E-1,1.291589127E1,-9.526639252E0,1.298938843E1,2.064706551E1
9.217283750E-1,1.236818024E1,-1.002285736E1,1.164099243E1,1.972161902E1
9.317413750E-1,1.208032883E1,-1.085512665E1,1.107771378E1,1.965919280E1
9.417533750E-1,1.226729004E1,-1.109223358E1,9.898016968E0,1.927420013E1
9.517653750E-1,1.254526199E1,-1.102547241E1,8.701405334E0,1.883239483E1
9.617783750E-1,1.309327240E1,-1.079375427E1,7.776329041E0,1.866574956E1
9.717903750E-1,1.342603043E1,-1.015593063E1,6.591243439E0,1.807887469E1
9.818023750E-1,1.346509918E1,-9.182355194E0,5.158572693E0,1.709489442E1
9.918153750E-1,1.282503021E1,-8.356672211E0,3.641477509E0,1.573453936E1
1.001827375E0,1.177271851E1,-7.358996887E0,2.448757782E0,1.409780660E1
1.011839375E0,1.066831512E1,-5.951024780E0,1.593885498E0,1.231942022E1
1.021852375E0,9.821226654E0,-4.687352600E0,1.212927704E0,1.094983840E1
