"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.512963333E-1,-2.462229767E0,2.456691284E0,9.477541351E0,1.009562765E1
6.612873332E-1,-2.424957275E0,2.530487823E0,9.306746521E0,9.944813584E0
6.712783333E-1,-2.314786377E0,2.585124207E0,9.072932739E0,9.713866976E0
6.812693332E-1,-2.303110657E0,2.547702026E0,9.033564606E0,9.664387916E0
6.912603333E-1,-2.496957550E0,2.433040466E0,9.118887177E0,9.762611651E0
7.012513332E-1,-2.530487823E0,2.360291748E0,9.245074768E0,9.871461555E0
7.112423333E-1,-2.335892487E0,2.267185364E0,9.212891693E0,9.771074482E0
7.212333333E-1,-2.116299133E0,2.261946259E0,9.099577332E0,9.612358218E0
7.312233333E-1,-1.975891113E0,2.247276764E0,9.382189636E0,9.847836357E0
7.412143333E-1,-1.782193909E0,2.215692444E0,9.697583771E0,1.010587152E1
7.512053333E-1,-2.034868469E0,2.108964386E0,9.840087433E0,1.026721682E1
7.611963333E-1,-2.265838165E0,2.125280457E0,1.002315674E1,1.049354614E1
7.711873333E-1,-2.708467712E0,2.332000580E0,1.006177643E1,1.067770429E1
7.811783333E-1,-3.170856171E0,2.664309540E0,9.952653351E0,1.077998993E1
7.911693333E-1,-3.333418121E0,2.944227448E0,9.660910034E0,1.063547527E1
8.011603333E-1,-3.358715515E0,3.091371460E0,9.973310394E0,1.096833933E1
8.111513333E-1,-3.068768463E0,2.697690125E0,9.714498596E0,1.053880234E1
8.211423333E-1,-1.398092651E0,2.026635590E0,9.355694733E0,9.674240994E0
8.311323333E-1,-1.385668488E0,1.338516541E0,9.428892517E0,9.623706032E0
8.411233333E-1,-2.514620819E0,1.335522766E0,9.304052124E0,9.729970444E0
8.511143333E-1,-2.410437469E0,1.915416870E0,8.891510010E0,9.409462303E0
8.611053333E-1,-1.694925385E0,2.411335602E0,8.613088989E0,9.103439646E0
8.710963333E-1,-9.190887451E-1,2.665656738E0,9.312883759E0,9.730377889E0
8.810873333E-1,-8.975335693E-1,2.847827911E0,9.984537048E0,1.042145241E1
8.910783333E-1,-9.288185120E-1,2.774630127E0,9.731862488E0,1.016220565E1
9.010693333E-1,-1.175804901E0,2.640958099E0,9.227561188E0,9.669801566E0
9.110603333E-1,-1.569486237E0,2.509681091E0,8.688232727E0,9.178625940E0
9.210513333E-1,-1.519041138E0,2.380499725E0,8.471034393E0,8.929316246E0
9.310423332E-1,-1.149459686E0,2.235301666E0,8.409512329E0,8.777113918E0
9.410323333E-1,-7.509883118E-1,2.217339020E0,8.622519379E0,8.934674936E0
9.510233332E-1,-4.968168640E-1,2.220332794E0,8.945996704E0,9.230794210E0
9.610143333E-1,-3.647914124E-1,2.144141235E0,9.121880951E0,9.377586390E0
9.710053332E-1,-2.143542480E-1,2.045346680E0,9.280251617E0,9.505391147E0
9.809963333E-1,-3.068618774E-2,1.931283875E0,9.388626251E0,9.585254401E0
9.909873332E-1,1.648072815E-1,1.814227295E0,9.682914276E0,9.852786966E0
1.000978333E0,3.601510620E-1,1.720971222E0,9.810748444E0,9.967057528E0
1.010969333E0,4.363426208E-1,1.560055847E0,9.680668945E0,9.815269755E0
1.020960333E0,4.122427368E-1,1.422342224E0,9.417516174E0,9.533237245E0
1.030951333E0,-6.885681152E-3,1.301842804E0,8.982820129E0,9.076667867E0
1.040941333E0,2.574645996E-2,1.439406738E0,8.873098297E0,8.989128324E0
1.050932333E0,6.396199036E-1,1.931583252E0,8.766519928E0,8.999555496E0
1.060923333E0,8.789721680E-1,2.383643188E0,9.271120605E0,9.612909248E0
1.070914333E0,6.848258972E-1,2.361339569E0,9.321715393E0,9.640502525E0
1.080905333E0,3.538641357E-1,2.173480225E0,9.108858032E0,9.371260895E0
1.090896333E0,5.987548828E-2,2.117346954E0,9.050928497E0,9.295485456E0
