"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.404572499E-1,-9.369017029E-1,3.640579376E0,8.086334381E0,8.917421529E0
6.504472500E-1,3.323089600E-1,1.988464966E0,6.122418365E0,6.445807072E0
6.604372499E-1,1.077758789E0,1.657353516E0,4.579127655E0,4.987664259E0
6.704272500E-1,7.997868347E-1,2.307301941E0,3.714525604E0,4.445334823E0
6.804172500E-1,-5.496569824E-1,4.001329193E0,4.649481354E0,6.158768949E0
6.904072500E-1,-1.537901917E0,5.936654663E0,6.742578735E0,9.114350163E0
7.003972500E-1,-4.537065125E-1,5.752088470E0,7.983647919E0,9.850431740E0
7.103872499E-1,1.124461670E0,4.187541962E0,8.641529846E0,9.668296634E0
7.203772500E-1,1.428180084E0,3.212769012E0,8.836274872E0,9.510065020E0
7.303682499E-1,1.120120697E0,3.132835236E0,8.841214600E0,9.446502135E0
7.403582500E-1,8.931925964E-1,3.794010315E0,9.544901276E0,1.031006536E1
7.503482500E-1,5.038522339E-1,4.580175476E0,1.040097107E1,1.137594276E1
7.603382500E-1,1.916015625E-2,5.015320587E0,1.114597183E1,1.222237685E1
7.703282500E-1,-4.972659302E-1,4.550237732E0,1.099433716E1,1.190913038E1
7.803182499E-1,2.679428101E-2,3.289559326E0,9.723629608E0,1.026503245E1
7.903082500E-1,1.760339355E-1,1.884131927E0,8.545878754E0,8.752884367E0
8.002982499E-1,1.945953369E-2,1.215322723E0,9.179960175E0,9.260078661E0
8.102882500E-1,6.001020813E-1,1.540895691E0,8.573870544E0,8.731880562E0
8.202782500E-1,-7.053332520E-1,1.154100037E0,6.789431305E0,6.922847632E0
8.302682500E-1,-5.201683044E-1,1.271306305E0,8.590336304E0,8.699463926E0
8.402582500E-1,-3.679348755E-1,6.255491638E-1,1.015877472E1,1.018466453E1
8.502482499E-1,-1.969604187E0,-8.813671875E-1,1.117845428E1,1.138481396E1
8.602375833E-1,-1.659598846E0,-6.179150391E-1,1.125240051E1,1.139090008E1
8.702275833E-1,-2.600093079E0,-4.076023865E-1,1.039722885E1,1.072515695E1
8.802175833E-1,-1.703008575E0,5.691165161E-1,9.562115479E0,9.729243765E0
8.902075833E-1,9.216334534E-1,1.780846710E0,9.313033447E0,9.526458692E0
9.001975834E-1,-6.008505249E-1,1.641336823E0,9.744735718E0,9.900246569E0
9.101875833E-1,6.985972595E-1,8.342152405E-1,9.429491272E0,9.492062939E0
9.201775833E-1,5.771997070E-1,1.052611084E0,9.561367035E0,9.636435501E0
9.301675833E-1,6.497987366E-1,1.249152374E0,9.811047821E0,9.911573003E0
9.401575833E-1,1.005758514E0,1.306632843E0,9.353150024E0,9.497381479E0
9.501485833E-1,3.192860413E-1,9.352551270E-1,9.471404114E0,9.522822146E0
9.601385833E-1,1.094224548E-1,3.742218018E-3,9.398954773E0,9.399592443E0
9.701285833E-1,-1.000220032E0,-8.244854736E-1,1.032732422E1,1.040835443E1
9.801185833E-1,-9.659413147E-1,-1.605112152E0,1.125659180E1,1.141141037E1
9.901085834E-1,-7.523355103E-1,-1.533710632E0,1.088805817E1,1.102125617E1
1.000098583E0,-5.688171387E-2,-2.945874023E-1,1.065978287E1,1.066400432E1
1.010088583E0,1.689237213E0,1.369053040E0,1.050680099E1,1.072943129E1
1.020078583E0,1.524280243E0,1.419947205E0,9.359886017E0,9.588907475E0
1.030068583E0,2.239492950E0,1.965712280E0,8.860973511E0,9.348593745E0
1.040058583E0,2.478695526E0,1.672023010E0,8.632249146E0,9.135388211E0
1.050048583E0,2.360740814E0,1.435664520E0,8.702303467E0,9.130406094E0
1.060038583E0,2.384990387E0,1.130449219E0,9.269174652E0,9.637618654E0
1.070028583E0,2.524949341E0,9.527687073E-1,9.023535461E0,9.418456859E0
1.080018583E0,2.823578339E0,6.730004883E-1,8.847351837E0,9.311345704E0
1.090008583E0,3.182531891E0,1.297501831E0,8.915460205E0,9.554969958E0
1.099998583E0,3.815715179E0,1.492246857E0,8.893156586E0,9.791563566E0
1.109988583E0,3.954326935E0,5.617817688E-1,8.720266113E0,9.591420195E0
1.119978583E0,3.925437012E0,7.484436035E-1,8.576265564E0,9.461583091E0
1.129968583E0,3.878434753E0,1.327589264E0,8.057145081E0,9.040040721E0
1.139958583E0,4.634662170E0,1.376387787E0,7.586224365E0,8.995851093E0
1.149948583E0,4.996759186E0,1.596729584E0,7.805069275E0,9.404055195E0
1.159939583E0,5.148992615E0,1.826950836E0,8.136330414E0,9.800497279E0
1.169929583E0,4.915478210E0,1.163680115E0,8.502019958E0,9.889409528E0
1.179919583E0,3.212769012E0,-1.263821869E0,9.870324554E0,1.045669342E1
1.189909583E0,1.113085327E0,-1.155596924E0,1.002944366E1,1.015697314E1
1.199899583E0,2.216740265E0,-8.560697937E-1,8.421337738E0,8.750184123E0
1.209889583E0,2.699486389E0,-2.525248718E-1,8.507408752E0,8.928997663E0
1.219879583E0,2.346520386E0,-1.257385254E-2,7.932304688E0,8.272108176E0
1.229869583E0,2.544408875E0,5.583389282E-1,7.406448212E0,7.851193157E0
1.239859583E0,2.847528534E0,6.563850403E-1,7.680977325E0,8.218069892E0
1.249849583E0,3.053649902E0,9.071136475E-2,8.156688080E0,8.710026792E0
1.259839583E0,2.986140289E0,-1.058299255E-1,8.749006348E0,9.245179602E0
1.269829583E0,2.910397797E0,-2.097138977E-1,9.451495514E0,9.891671381E0
1.279819583E0,2.639760590E0,-6.053411865E-1,1.025786865E1,1.060936583E1
1.289809583E0,1.652563477E0,-6.366261292E-1,1.054063065E1,1.068836532E1
1.299799583E0,1.000519409E0,-8.259823608E-1,9.980794830E0,1.006476783E1
1.309789583E0,8.416996765E-1,-7.620652771E-1,9.088350677E0,9.159002122E0
1.319779583E0,5.713618469E-1,-6.328839111E-1,8.206684113E0,8.250858169E0
1.329769583E0,4.257147217E-1,-7.150630188E-1,7.704478455E0,7.749292639E0
1.339759583E0,4.887336731E-1,-8.301736450E-1,7.670499115E0,7.730757114E0
1.349749583E0,7.441026306E-1,-8.747808838E-1,7.889793091E0,7.972939567E0
1.359739583E0,9.889933777E-1,-9.313632202E-1,7.949518890E0,8.064762609E0
1.369729583E0,1.335373077E0,-1.043180695E0,7.857909393E0,8.038543851E0
1.379720583E0,1.763632507E0,-1.311722260E0,7.907905426E0,8.207678304E0
1.389710583E0,1.844464417E0,-1.527872772E0,7.700137482E0,8.064028858E0
1.399700583E0,2.139051819E0,-1.559906158E0,7.724237366E0,8.165334824E0
1.409690583E0,2.098037109E0,-1.529669037E0,8.346792755E0,8.741315483E0
1.419680583E0,2.312391357E0,-9.512718201E-1,8.791068878E0,9.139746380E0
1.429670583E0,3.393592987E0,-1.829794922E0,8.875792694E0,9.676999471E0
1.439660583E0,3.331023102E0,-2.077230377E0,8.613238678E0,9.465647441E0
1.449650583E0,2.825973358E0,-1.936522980E0,7.902366943E0,8.612993091E0
1.459640583E0,2.639311523E0,-2.486030273E0,7.417824554E0,8.256538800E0
1.469630583E0,2.351909180E0,-2.367177429E0,8.388406219E0,9.027755240E0
1.479620583E0,2.675985260E0,-2.759661255E0,9.870623932E0,1.059272600E1
1.489610583E0,3.481759644E0,-3.318000183E0,1.068687653E1,1.171926215E1
1.499600583E0,4.376598816E0,-3.849095764E0,1.135553604E1,1.276394744E1
1.509590583E0,4.617897034E0,-4.755760345E0,1.141361526E1,1.319897128E1
1.519580583E0,3.535946960E0,-5.551954651E0,1.159099640E1,1.332960310E1
1.529570583E0,2.569257202E0,-4.651576996E0,1.113489487E1,1.233791452E1
1.539560583E0,4.593348083E0,-5.036875763E0,1.094029953E1,1.289027222E1
1.549550583E0,5.781726837E0,-3.574866028E0,1.044018951E1,1.245815353E1
1.559540583E0,8.065527649E0,-3.067570953E0,9.762398987E0,1.302947281E1
1.569530583E0,9.647438049E0,-2.790946198E0,9.712552643E0,1.397126052E1
1.579520583E0,1.032118698E1,-2.241139526E0,9.960137787E0,1.451736725E1
1.589510583E0,1.047895889E1,-2.445464630E0,9.896370392E0,1.461940572E1
1.599501583E0,1.170954987E1,-3.939657440E0,1.009785141E1,1.595622330E1
1.609491583E0,1.100795883E1,-3.561094666E0,1.009859985E1,1.535702679E1
1.619481583E0,1.012584320E1,-2.894530792E0,9.435628510E0,1.414008820E1
1.629471583E0,1.010758118E1,-3.269351349E0,8.361013184E0,1.351881640E1
1.639461583E0,9.850116577E0,-3.316952362E0,6.899452515E0,1.247515189E1
1.649451583E0,1.028107040E1,-3.143912201E0,4.631518707E0,1.170621878E1
1.659441583E0,1.081081879E1,-2.873125305E0,2.339185638E0,1.142805501E1
1.669431583E0,1.076007431E1,-2.731519775E0,1.206491089E0,1.116673722E1
1.679421583E0,1.000459534E1,-3.152444458E0,7.746391296E-1,1.051807490E1
1.689411583E0,9.442813568E0,-3.772754517E0,6.710545349E-1,1.019071729E1
1.699401583E0,8.545729065E0,-4.168381805E0,9.291178894E-1,9.553436669E0
1.709391583E0,7.848479004E0,-4.648732910E0,2.222278748E0,9.388709346E0
1.719381583E0,7.229815521E0,-5.416037292E0,3.815116425E0,9.806059645E0
1.729371583E0,6.548133087E0,-5.975723419E0,4.989873505E0,1.017281450E1
1.739361583E0,6.090983734E0,-6.357729034E0,5.676495667E0,1.047584862E1
1.749351583E0,6.236481171E0,-6.319259033E0,5.261857910E0,1.032055622E1
