"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.457905833E-1,-5.214107208E0,1.585742432E1,1.839973755E0,1.679375846E1
6.557205833E-1,-3.664529572E0,1.432550995E1,2.126777344E0,1.493894890E1
6.656505833E-1,-5.365741882E0,1.195548843E1,1.637744293E0,1.320632788E1
6.755815833E-1,-5.191504211E0,1.067490143E1,6.866221619E-1,1.189019287E1
6.855115833E-1,-4.390070801E0,1.068777466E1,1.234931946E-1,1.155493398E1
6.954415833E-1,-3.885170746E0,1.040621017E1,-2.874023438E-2,1.110786154E1
7.053715833E-1,-3.782035217E0,9.040150909E0,2.661465454E-1,9.803007336E0
7.153015833E-1,-2.177821198E0,7.671247559E0,1.792821808E0,8.173442011E0
7.252325833E-1,9.011260986E-2,5.922434235E0,1.950444031E0,6.235990656E0
7.351625833E-1,1.234931946E-1,5.697601776E0,-1.230141907E0,5.830194309E0
7.450925833E-1,5.294490051E-1,7.089856567E0,-2.295326843E0,7.470937539E0
7.550225833E-1,3.279679871E-1,7.562723236E0,-1.862427063E0,7.795574405E0
7.649525833E-1,-2.981799316E-1,8.115224304E0,-1.555565186E0,8.268346862E0
7.748825833E-1,-6.045927429E-1,8.215964813E0,-1.674867096E0,8.406711009E0
7.848135833E-1,-7.568261719E-1,8.127798157E0,-1.708996124E0,8.339937439E0
7.947435833E-1,-1.080453186E0,8.336763611E0,-1.523831177E0,8.543481026E0
8.046735833E-1,-1.559606781E0,8.751850433E0,-1.191671906E0,8.969244185E0
8.146035833E-1,-2.155068512E0,9.311386871E0,-7.622149658E-1,9.587868241E0
8.245335833E-1,-3.030897217E0,9.955497437E0,-3.697311401E-1,1.041321124E1
8.344635833E-1,-3.775598602E0,1.006447083E1,1.228944397E-1,1.075006143E1
8.443945833E-1,-4.033212891E0,1.017074982E1,-2.257305908E-1,1.094357859E1
8.543245833E-1,-4.096381531E0,1.044093796E1,-2.996768188E-1,1.121977421E1
8.642545833E-1,-4.047882385E0,1.056428146E1,-2.585124207E-1,1.131619297E1
8.741845833E-1,-3.554059296E0,9.950557709E0,-3.471281433E-1,1.057191724E1
8.841145833E-1,-2.870430908E0,9.514364777E0,-7.093748474E-1,9.963218525E0
8.940455833E-1,-2.160457306E0,8.981173553E0,-7.816744995E-1,9.270386680E0
9.039755833E-1,-1.882036285E0,8.802594910E0,-1.114881592E0,9.070319657E0
9.139055833E-1,-1.446891174E0,9.030421143E0,-1.514400787E0,9.270135373E0
9.238355833E-1,-9.604028320E-1,9.084309082E0,-1.319655762E0,9.229763617E0
9.337655833E-1,-4.749623108E-1,9.395511932E0,-1.417851562E0,9.513755133E0
