"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.391252083E-1,-7.416177979E0,-2.417921906E0,-1.448537750E0,7.933744624E0
6.490552083E-1,-5.281317444E0,7.107220459E-1,-5.142256622E0,7.405419835E0
6.589862083E-1,-7.592211914E-1,6.214177551E0,-4.239933014E0,7.561048302E0
6.689162083E-1,5.884263611E-1,1.188588318E1,-2.918780365E0,1.225315238E1
6.788472083E-1,1.537452850E0,1.680330734E1,-2.330503693E0,1.703367683E1
6.887772083E-1,3.252885590E0,1.717393661E1,-7.234455872E-1,1.749424868E1
6.987085000E-1,4.995112610E0,1.797641785E1,-1.170865173E0,1.869421498E1
7.086385000E-1,1.449196381E1,3.671520035E1,-1.772913208E0,3.951159542E1
7.185685000E-1,8.111631775E0,2.170576263E1,1.549727325E0,2.322370247E1
7.284995000E-1,-6.854246521E-1,1.577255081E1,-2.896476746E-1,1.579009379E1
7.384295000E-1,-6.990463257E-2,2.063728455E1,-1.854493561E0,2.072055855E1
7.483605000E-1,1.486408997E-1,1.341615097E1,-1.773811340E0,1.353372113E1
7.582905000E-1,-5.538482666E-2,1.315524353E1,-9.397457886E-1,1.318888251E1
7.682205000E-1,-1.272803192E0,1.439182205E1,-1.305884399E0,1.450689160E1
7.781515000E-1,-2.450703735E0,1.318533096E1,-2.066901855E0,1.356948727E1
7.880815000E-1,-2.564616852E0,1.324430832E1,-2.304158478E0,1.368568993E1
7.980125000E-1,-8.767268372E-1,1.237207214E1,-2.144141235E0,1.258706323E1
8.079425000E-1,-1.037342834E0,1.240111176E1,-2.438279572E0,1.268104334E1
8.178735000E-1,-7.735913086E-1,1.306767563E1,-2.556533661E0,1.333785793E1
8.278035000E-1,-4.725672913E-1,1.288640259E1,-2.198029175E0,1.308105591E1
8.377335000E-1,1.541793823E-2,1.246607666E1,-1.717378693E0,1.258382671E1
8.476645000E-1,5.837860107E-3,1.173514664E1,-1.175505524E0,1.179387612E1
8.575945000E-1,-2.948867798E-1,1.094718521E1,-3.716770935E-1,1.095746166E1
